PLAY "Jouer"
ENEMIES_GOBLIN_VILLAGE_RACE "peaux-vertes"
ENEMIES_GREEN_DRAGON_RACE "dragon"
ENEMIES_HUMAN_COTTAGE_RACE "humains"
ENEMIES_KIRIN_RACE "ki-rin"
ENEMIES_KNIGHTS_RACE "humains"
ENEMIES_KOBOLD_CAVE_RACE "kobolds"
ENEMIES_KRAKEN_RACE "kraken"
ENEMIES_LIZARDMEN_COTTAGE_RACE "hommes-lézards"
ENEMIES_LIZARDMEN_RACE "hommes-lézards"
ENEMIES_LIZARDMEN_SMALL_RACE "hommes-lézards"
ENEMIES_MINOTAUR_RACE "monstres"
ENEMIES_NATIVE_VILLAGE_RACE "humains"
ENEMIES_NO_AGGRO_BANDITS_RACE "bandits"
ENEMIES_NO_AGGRO_DWARF_CAVE_RACE "nains"
ENEMIES_ORC_CAVE_RACE "orcs"
ENEMIES_ORC_VILLAGE_RACE "peaux-vertes"
ENEMIES_RED_DRAGON_RACE "dragon"
ENEMIES_RUINS_RACE "ruines"
ENEMIES_TEMPLE_RACE "autel"
ENEMIES_TEUTONS_RACE "Chevaliers Teutoniques"
ENEMIES_THIEVES_RACE "voleurs"
ENEMIES_TUTORIAL_VILLAGE_RACE "humains"
ENEMIES_UNICORN_HERD_RACE "licornes"
ENEMIES_VILLAGE_RACE "humains"
ENEMIES_WARRIORS_RACE "humains"
ENEMIES_WITCH_RACE "sorcière"
ENEMIES_WOLF_DEN_RACE "loups"
FURNITURE_EFFIGY_NAME "effigie"
FURNITURE_ADA_DOOR_NAME "porte en adamantium"
FURNITURE_ADA_GATE_NAME "portail en adamantium"
FURNITURE_ADOXIE_FEET_ALTAR_NAME "autel"
FURNITURE_ADOXIE_FEET_TRIGGER_NAME "sol"
FURNITURE_ADOXIE_LEFT_FOOT_NAME1 "statue du Pied Droit du Dieu Maléfique Adoxie"
FURNITURE_ADOXIE_LEFT_FOOT_NAME "statue du Pied Gauche du Dieu Maléfique Adoxie"
FURNITURE_ADOXIE_STATUE_TEMPLE_NAME "statue du Dieu Maléfique Adoxie"
FURNITURE_ADVENTURER_CHEST_NAME "coffre"
FURNITURE_ALARM_TRAP_NAME "piège d'alarme"
FURNITURE_ALTAR_DES_NAME "autel profané"
FURNITURE_ALTAR_NAME "autel"
FURNITURE_ALTAR_SECONDPERSON1 "Tu trouves quelques pièces d'or dans les fissures."
FURNITURE_ALTAR_SECONDPERSON2 "Tu trouves un glyphe dans les fissures !"
FURNITURE_ALTAR_SECONDPERSON "Tu profanes l'autel"
FURNITURE_ALTAR_THIRDPERSON1 "{1} trouve quelques pièces d'or dans les fissures."
FURNITURE_ALTAR_THIRDPERSON2 "{1} trouve un glyphe dans les fissures !"
FURNITURE_ALTAR_THIRDPERSON "{1} profane l'autel"
FURNITURE_ALTAR_USAGETYPE "profaner l'autel"
FURNITURE_ANIMAL_FENCE_NAME "clôture pour animaux"
FURNITURE_ARCHERY_RANGE_NAME "cible de tir à l'arc"
FURNITURE_ARMOR_RACK_NAME "râtelier d'armures"
FURNITURE_AUTOMATON_ENGINE_ADA_NAME "moteur en adamantium"
FURNITURE_AUTOMATON_ENGINE_IRON_NAME "moteur en fer"
FURNITURE_AUTOMATON_ENGINE_WOOD_NAME "moteur en bois"
FURNITURE_AUTOMATON_STORAGE_NAME "coffre d'automate"
FURNITURE_BARRICADE_NAME "barricade"
FURNITURE_BEAST_CAGE_NAME "cage à bêtes"
FURNITURE_BEAST_CAGE_USAGETYPE "dormir dans une cage"
FURNITURE_BED1_NAME "lit basique"
FURNITURE_BED1_USAGETYPE "dormir dans un lit"
FURNITURE_BED2_NAME "lit confortable"
FURNITURE_BED2_USAGETYPE "dormir dans un lit"
FURNITURE_BED3_NAME "lit luxueux"
FURNITURE_BED3_USAGETYPE "dormir dans un lit"
FURNITURE_BLACK_FLOOR_NAME "vide"
FURNITURE_BLACK_WALL_NAME "vide"
FURNITURE_BLAST_TRAP_NAME "piège explosif"
FURNITURE_BOOKCASE_GOLD_NAME "bibliothèque dorée"
FURNITURE_BOOKCASE_IRON_NAME "bibliothèque en fer"
FURNITURE_BOOKCASE_WOOD_NAME "bibliothèque en bois"
FURNITURE_BOOK_STORAGE_NAME "étagère à livres"
FURNITURE_BOULDER_TRAP_NAME "piège à rocher"
FURNITURE_BRIDGE_NAME "pont de bois"
FURNITURE_BRIDGE_NAME2 "pont de pierre"
FURNITURE_BURNT_TREE_NAME "arbre brûlé"
FURNITURE_BUSH_NAME1 "plante"
FURNITURE_BUSH_NAME "buisson"
FURNITURE_CANIF_TREE_NAME1 "cactus"
FURNITURE_CANIF_TREE_NAME2 "champignon arbre géant"
FURNITURE_CANIF_TREE_NAME "arbre"
FURNITURE_CASTLE_PILLAR_NAME1 "mur de pierre"
FURNITURE_CASTLE_PILLAR_NAME "pilier de pierre"
FURNITURE_CASTLE_WALL_NAME "mur à meurtrières"
FURNITURE_CAULDRON_TAR_NAME "chaudron de goudron"
FURNITURE_CHEST_NAME "coffre"
FURNITURE_CHEST_WITH_ITEMS_NAME "coffre"
FURNITURE_CHICKEN_COOP_NAME "poulailler"
FURNITURE_COFFIN1_NAME "cercueil basique"
FURNITURE_COFFIN1_USAGETYPE "dormir dans un cercueil"
FURNITURE_COFFIN2_NAME "cercueil confortable"
FURNITURE_COFFIN2_USAGETYPE "dormir dans un cercueil"
FURNITURE_COFFIN3_NAME "cercueil luxueux"
FURNITURE_COFFIN3_USAGETYPE "dormir dans un cercueil"
FURNITURE_CONFESSIONAL_NAME1 "confessionnal luxueux"
FURNITURE_CONFESSIONAL_NAME "confessionnal"
FURNITURE_CONFESSIONAL_USAGETYPE1 "Un sbire est absous de ses péchés véniels"
FURNITURE_CONFESSIONAL_USAGETYPE2 "Un sbire est plus expérimenté"
FURNITURE_CONFESSIONAL_USAGETYPE3 "Un sbire est absous d'un péché mortel"
FURNITURE_CONFESSIONAL_USAGETYPE "confesser"
FURNITURE_CORPSE_DISPLAY1_NAME "exposition grotesque de cadavres"
FURNITURE_COW_PEN_NAME "enclos à vaches"
FURNITURE_CROPS_NAME "blé"
FURNITURE_CROPS_SECONDPERSON "Tu moissonnes le champ."
FURNITURE_CROPS_THIRDPERSON "{1} moissonne le champ."
FURNITURE_CROPS_USAGETYPE "moissonner le blé"
FURNITURE_DEMON_SHRINE_NAME1 "sanctuaire de l'ange"
FURNITURE_DEMON_SHRINE_NAME "sanctuaire démoniaque"
FURNITURE_DEMON_SHRINE_NAME_PLURAL "sanctuaires démoniaques"
FURNITURE_DESTROY_WALLS_TRAP_NAME "piège d'effondrement"
FURNITURE_DISTILLERY_NAME "distillerie"
FURNITURE_DISTILLERY_USAGETYPE "utiliser la distillerie"
FURNITURE_DUNGEON_WALL_NAME "mur renforcé"
FURNITURE_EYEBALL_NAME "œil"
FURNITURE_FIRE_TRAP_NAME "piège de feu"
FURNITURE_FIRE_WALL_NAME "feu"
FURNITURE_FLOOR_BLIND_NAME "sol de cécité"
FURNITURE_FLOOR_CARPET1_NAME "tapis"
FURNITURE_FLOOR_INVI_NAME "sol d'invisibilité"
FURNITURE_FLOOR_NAME1 "bonnes intentions"
FURNITURE_FLOOR_NAME "sol"
FURNITURE_FLOOR_PEACE_NAME "sol de paix"
FURNITURE_FLOOR_SPEED_NAME "sol de vitesse"
FURNITURE_FLOOR_STONE1_NAME "sol en pierre"
FURNITURE_FLOOR_WOOD1_NAME "sol en bois"
FURNITURE_FLOWER1_NAME "fleur"
FURNITURE_FORGE_NAME1 "forge de magma"
FURNITURE_FORGE_NAME "forge"
FURNITURE_FORGE_QUENCHING_BUCKET_NAME "seau de trempe"
FURNITURE_FOUNTAIN_NAME "fontaine"
FURNITURE_FOUNTAIN_SECONDPERSON "Tu bois une gorgée."
FURNITURE_FOUNTAIN_THIRDPERSON "{1} boit une gorgée."
FURNITURE_FOUNTAIN_USAGETYPE "boire à la fontaine"
FURNITURE_FURNACE_NAME "four"
FURNITURE_GALLOWS_NAME "potence"
FURNITURE_GARGOYLE_TRAP_NAME "piège à gargouille"
FURNITURE_GRASS_NAME "herbe"
FURNITURE_GRAVE_NAME "tombe"
FURNITURE_GROUND_TORCH_NAME "torche au sol"
FURNITURE_HAYPILE_NAME "tas de foin"
FURNITURE_HAYPILE_SECONDPERSON "Tu manges un peu de foin."
FURNITURE_HAYPILE_THIRDPERSON "{1} mange un peu de foin."
FURNITURE_HAYPILE_USAGETYPE "manger du tas de foin"
FURNITURE_HEALING_TOTEM_NAME1 "totem sanglant"
FURNITURE_HEALING_TOTEM_NAME "totem de guérison"
FURNITURE_HILL_NAME "colline"
FURNITURE_ICE_NAME "glace"
FURNITURE_IMPALED_HEAD_NAME "tête empalée"
FURNITURE_INACTIVE_PORTAL_NAME "portail"
FURNITURE_INACTIVE_PORTAL_USAGETYPE "utiliser le portail"
FURNITURE_IRON_DOOR_NAME "porte en fer"
FURNITURE_IRON_GATE_NAME "portail en fer"
FURNITURE_JEWELLER_NAME1 "joaillier de magma"
FURNITURE_JEWELLER_NAME2 "table de poésie"
FURNITURE_JEWELLER_NAME3 "table à manger"
FURNITURE_JEWELLER_NAME "joaillier"
FURNITURE_JEWELLER_POLISHING_WHEEL_NAME "roue de polissage de joaillerie"
FURNITURE_JEWELLER_SECONDPERSON "Tu manges un cochon fumant."
FURNITURE_JEWELLER_THIRDPERSON "{1} mange un cochon fumant."
FURNITURE_JEWELLER_USAGETYPE "manger à la table à manger"
FURNITURE_JEWELLERY_STORAGE_NAME "coffre à bijoux"
FURNITURE_KEEPER_BOARD_NAME "tableau d'affichage"
FURNITURE_LABORATORY_NAME1 "laboratoire enchanté"
FURNITURE_LABORATORY_NAME "laboratoire"
FURNITURE_WITCH_LAB_NAME "chaudron pour cuire les enfants"
FURNITURE_LOOT_COFFIN_NAME "cercueil"
FURNITURE_MAGMA_NAME "magma"
FURNITURE_METEOR_SHOWER_NAME "pluie de météores"
FURNITURE_MINION_STATUE_NAME "statue en or"
FURNITURE_MORGUE_INSTRUMENT_TABLE_NAME "table d'instruments"
FURNITURE_MORGUE_TABLE_NAME "table de morgue"
FURNITURE_MORTAR_AND_PESTLE_NAME "mortier et pilon"
FURNITURE_MOUNTAIN2_NAME1 "minerai d'adamantium"
FURNITURE_MOUNTAIN2_NAME2 "minerai d'adoxium"
FURNITURE_MOUNTAIN2_NAME3 "minerai d'infernite"
FURNITURE_MOUNTAIN2_NAME4 "minerai de fer"
FURNITURE_MOUNTAIN2_NAME5 "granit"
FURNITURE_MOUNTAIN2_NAME6 "minerai d'or"
FURNITURE_MOUNTAIN2_NAME "roche fondue"
FURNITURE_MOUNTAIN_NAME1 "grès"
FURNITURE_MOUNTAIN_NAME2 "glacier"
FURNITURE_MOUNTAIN_NAME3 "montagne"
FURNITURE_MOUNTAIN_NAME4 "mur"
FURNITURE_MOUNTAIN_NAME5 "roche dure"
FURNITURE_MOUNTAIN_NAME "roche tendre"
FURNITURE_MUD_NAME "boue"
FURNITURE_MUD_WALL_NAME "mur de boue"
FURNITURE_OPENED_CHEST_NAME "coffre ouvert"
FURNITURE_PAINTING_N_NAME "toile de peinture"
FURNITURE_PEW_WOOD_NAME1 "banc de prière en fer"
FURNITURE_PEW_WOOD_NAME2 "banc de prière doré"
FURNITURE_PEW_WOOD_NAME "banc de prière en bois"
FURNITURE_PEW_WOOD_SECONDPERSON "Tu t'endors sur le banc."
FURNITURE_PEW_WOOD_THIRDPERSON "{1} s'endort sur le banc."
FURNITURE_PEW_WOOD_USAGETYPE "s'asseoir sur le banc"
FURNITURE_PHYLACTERY_NAME1 "phylactère active"
FURNITURE_PHYLACTERY_NAME "phylactère"
FURNITURE_PHYLACTERY_USAGETYPE "transférer ton âme dans la phylactère"
FURNITURE_PIGSTY_NAME "porcherie"
FURNITURE_PIT_NAME "fosse"
FURNITURE_POETRY_TABLE_NAME "scriptorium"
FURNITURE_POISON_GAS_TRAP_NAME "piège à gaz empoisonné"
FURNITURE_PORTAL_NAME "portail"
FURNITURE_PORTAL_STAIRS_NAME "portail"
FURNITURE_PORTAL_STAIRS_USAGETYPE "utiliser le portail"
FURNITURE_POTION_STORAGE_NAME "étagère à potions"
FURNITURE_PRAYER_BENCH_WOOD_NAME1 "banc de prière en fer"
FURNITURE_PRAYER_BENCH_WOOD_NAME2 "banc de prière doré"
FURNITURE_PRAYER_BENCH_WOOD_NAME "banc de prière en bois"
FURNITURE_PRISON_BARS_NAME "barreaux de prison"
FURNITURE_PRISON_DOOR_NAME "porte de prison"
FURNITURE_PRISON_NAME "case de prison"
FURNITURE_PRISON_USAGETYPE "dormir en prison"
FURNITURE_RED_SAND_NAME "sable"
FURNITURE_REMAINS_TABLE_NAME "piédestal"
FURNITURE_ROAD_NAME "chemin"
FURNITURE_ROOF_NAME "toit"
FURNITURE_ROSTRUM_WOOD_NAME1 "lutrin en fer"
FURNITURE_ROSTRUM_WOOD_NAME2 "lutrin doré"
FURNITURE_ROSTRUM_WOOD_NAME "lutrin en bois"
FURNITURE_ROSTRUM_WOOD_USAGETYPE "célébrer une messe"
FURNITURE_RUIN_WALL_NAME "mur"
FURNITURE_SAND_NAME "sable"
FURNITURE_SCARECROW_NAME "épouvantail"
FURNITURE_SCRIPTORIUM_HOLY_TOKEN_NAME "symbole sacré"
FURNITURE_SCROLL_STORAGE_NAME "étagère à parchemins"
FURNITURE_SNOWMAN_NAME "bonhomme de neige"
FURNITURE_SNOW_NAME "neige"
FURNITURE_SOKOBAN_HOLE_NAME "trou"
FURNITURE_SPIDER_WEB_NAME "toile d'araignée"
FURNITURE_STABLE_NAME "écurie"
FURNITURE_STABLE_USAGETYPE "dormir à l'écurie"
FURNITURE_STONE_MINION_STATUE_NAME "statue de pierre"
FURNITURE_STONES_NAME "rochers"
FURNITURE_SURPRISE_TRAP_NAME "piège surprise"
FURNITURE_SWAMPGRASS_NAME "herbe"
FURNITURE_TAR_NAME "goudron"
FURNITURE_TAR_SECONDPERSON1 "Le goudron te ralentit !"
FURNITURE_TAR_SECONDPERSON "Tu es pris au piège dans le goudron !"
FURNITURE_TAR_THIRDPERSON1 "{1} est ralenti par le goudron !"
FURNITURE_TAR_THIRDPERSON "{1} est pris au piège dans le goudron !"
FURNITURE_TERMITE_MOUND_NAME "termitière"
FURNITURE_TERROR_TRAP_NAME "piège de panique"
FURNITURE_THRONE_NAME1 "trône brisé"
FURNITURE_THRONE_NAME "trône"
FURNITURE_THRONE_SECONDPERSON "Tu t'assois sur le trône."
FURNITURE_THRONE_THIRDPERSON "{1} s'assoit sur le trône."
FURNITURE_THRONE_USAGETYPE "s'asseoir sur le trône"
FURNITURE_CANDELABRUM_NAME "candélabre"
FURNITURE_TORCH_NAME "torche"
FURNITURE_TORTURE_TABLE_NAME "table de torture"
FURNITURE_TRAINING_ADA_NAME "mannequin en adamantium"
FURNITURE_TRAINING_IRON_NAME "mannequin en fer"
FURNITURE_TRAINING_WOOD_NAME "mannequin en bois"
FURNITURE_TRAP_TRIGGER_NAME "déclencheur de piège"
FURNITURE_TREASURE_CHEST_NAME "coffre au trésor"
FURNITURE_TREE_TRUNK_NAME "tronc d'arbre"
FURNITURE_TUTORIAL_ENTRANCE_NAME "entrée du tutoriel"
FURNITURE_UP_STAIRS_NAME "escaliers qui montent"
FURNITURE_DOWN_STAIRS_NAME "escaliers qui descendent"
FURNITURE_UP_STAIRS_USAGETYPE "utiliser les escaliers"
FURNITURE_WATER_NAME1 "bassin enchanté"
FURNITURE_WATER_NAME2 "eau peu profonde"
FURNITURE_WATER_NAME "eau"
FURNITURE_WEAPON_RACK_NAME1 "râtelier d'arcs"
FURNITURE_WEAPON_RACK_NAME "râtelier d'armes"
FURNITURE_WEB_TRAP_NAME "piège à toile"
FURNITURE_WELL_NAME "puits"
FURNITURE_WHIPPING_POST_NAME "poteau de flagellation"
FURNITURE_WOOD_DOOR_NAME "porte en bois"
FURNITURE_WOOD_GATE_NAME "portail en bois"
FURNITURE_WOOD_PILLAR_NAME1 "mur en bois"
FURNITURE_WOOD_PILLAR_NAME "pilier en bois"
FURNITURE_WORKSHOP_NAME1 "atelier enchanté"
FURNITURE_WORKSHOP_NAME "atelier"
FURNITURE_WORKSHOP_TOOL_STAND_NAME "support à outils"

ITEM_LISTS_BLACKMARKETCRAFTING_TYPE1 "Contient les secrets de la connaissance légendaire de la forge"
ITEM_LISTS_BLACKMARKETCRAFTING_TYPE "maîtrise de la forge"
ITEM_LISTS_BLACKMARKETSCROLLS_TYPE1 "Crée un grand nuage de brouillard"
ITEM_LISTS_BLACKMARKETSCROLLS_TYPE "brouillard majeur"

ITEMS_ADAARMOR_NAME1 "armure en adoxium"
ITEMS_ADAARMOR_NAME "armure en adamantium"
ITEMS_ADAARMOR_SHORTNAME "armure"
ITEMS_ADABATTLEAXE_NAME "hache de bataille en infernite"
ITEMS_ADABATTLEAXE_SHORTNAME "infernite"
ITEMS_ADABOOTS_NAME1 "paire de bottes en adoxium"
    "paires de bottes en adoxium" : plural
ITEMS_ADABOOTS_NAME "paire de bottes en adamantium"
    "paires de bottes en adamantium" : plural
ITEMS_ADABOOTS_SHORTNAME "bottes"
ITEMS_ADAGLOVES_NAME1 "paire de gants en adoxium"
    "paires de gants en adoxium" : plural
ITEMS_ADAGLOVES_NAME "paire de gants en adamantium"
    "paires de gants en adamantium" : plural
ITEMS_ADAGLOVES_SHORTNAME "gants"
ITEMS_ADAHELM_NAME1 "heaume en adoxium"
ITEMS_ADAHELM_NAME "heaume en adamantium"
ITEMS_ADAHELM_SHORTNAME "heaume"
ITEMS_ADAORE_NAME "minerai d'adamantium"
ITEMS_ADASHIELD_NAME "bouclier en adamantium"
ITEMS_ADASHIELD_SHORTNAME "adamantium"
ITEMS_ADASWORD_NAME "épée en infernite"
ITEMS_ADASWORD_SHORTNAME "infernite"
ITEMS_ADAWARHAMMER_NAME "marteau de guerre en infernite"
ITEMS_ADAWARHAMMER_SHORTNAME "infernite"
ITEMS_ADOXIEAMULET_NAME "amulette du Dieu Maléfique Adoxie"
ITEMS_ADOXIEAMULET_SHORTNAME "Adoxie"
ITEMS_ADOXIEEYE_NAME "œil d'Adoxie"
ITEMS_ADOXIERING_DESCRIPTION "Augmente la capacité du porteur à réciter des prières."
ITEMS_ADOXIERING_NAME "anneau du Dieu Maléfique Adoxie"
ITEMS_ADOXIERING_SHORTNAME "Adoxie"
ITEMS_ADOXIESCROLL_EFFECT1 "message"
ITEMS_ADOXIESCROLL_EFFECT "Juste un pamphlet bon marché"
ITEMS_ADOXIESCROLL_NAME "pamphlet religieux"
ITEMS_ADOXIUMCROZIER_NAME "crosse en adoxium"
ITEMS_ADOXIUMORE_NAME "minerai d'adoxium"
ITEMS_ADOXIUMSTAFF_NAME "bâton en adoxium"
ITEMS_ARCHWOOD_NAME "branche d'archwood"
    "branches d'archwood" : plural
ITEMS_AUTOMATONITEM_APPLYMSGFIRSTPERSON "assembler l'automate"
ITEMS_AUTOMATONITEM_APPLYMSGTHIRDPERSON "assemble un automate"
ITEMS_AUTOMATONITEM_NAME "automate"
ITEMS_BAGOFCANDIES_BLINDNAME "sac"
ITEMS_BAGOFCANDIES_DESCRIPTION "En fait, juste un sac de bonbons."
ITEMS_BAGOFCANDIES_NAME "sac de bonbons"
ITEMS_BAGOFCANDIES_SHORTNAME "bonbons"
ITEMS_BALROGSWHIP_NAME "fouet igné"
ITEMS_BATTLEAXE_NAME1 "hache de bataille en adamantium"
ITEMS_BATTLEAXE_NAME "hache de bataille"
ITEMS_BATTLEAXE_SHORTNAME "adamantium"
ITEMS_BISHOPRING_DESCRIPTION "Accorde à l'Évêque la capacité d'invoquer sa congrégation. Ne peut pas être utilisé par d'autres sbires."
ITEMS_BISHOPRING_NAME "anneau de l'évêque"
ITEMS_BISHOPRING_SHORTNAME "évêque"
ITEMS_BLACKDRAGONSCALES_NAME "écailles de dragon noir"
ITEMS_BLACKMARKETKEY_APPLYMSGFIRSTPERSON "tu essaies d'utiliser la clé"
ITEMS_BLACKMARKETKEY_APPLYMSGTHIRDPERSON "essaie d'utiliser la clé"
ITEMS_BLACKMARKETKEY_DESCRIPTION "Une clé avec un cristal étrange."
ITEMS_BLACKMARKETKEY_EFFECT "Inconnu"
ITEMS_BLACKMARKETKEY_NAME "clé"
ITEMS_BONE_NAME "os"
ITEMS_BOW_NAME1 "arc elfique argenté"
ITEMS_BOW_NAME2 "arc en archwood"
ITEMS_BOW_NAME "arc court"
ITEMS_CHAINARMOR_NAME "armure de mailles"
ITEMS_CHAINARMOR_SHORTNAME "armure"
ITEMS_CLUB_NAME "gourdin"
ITEMS_CORNUTHAUM1_EQUIPWARNING "Les cornuthaums ne sont utiles que pour les lanceurs de sorts. Continuer ?"
ITEMS_CORNUTHAUM1_NAME1 "cornuthaum ornementé"
ITEMS_CORNUTHAUM1_NAME2 "cornuthaum somptueux"
ITEMS_CORNUTHAUM1_NAME "cornuthaum"
ITEMS_CROSSBOW_NAME1 "arbalète en archwood"
ITEMS_CROSSBOW_NAME "arbalète"
ITEMS_CYCLOPSBRAIN_NAME "cerveau de cyclope"
ITEMS_CYCLOPSSCROLL_EFFECT "?"
ITEMS_CYCLOPSSCROLL_NAME "parchemin étrange"
ITEMS_CYCLOPSTESTICLES_NAME "testicules de cyclope"
ITEMS_CYCLOPSTESTICLES_SHORTNAME "cyclope"
ITEMS_DEFENSEAMULET_DESCRIPTION "Augmente la dureté de ta peau et de ta chair, te rendant plus difficile à blesser."
ITEMS_DEFENSEAMULET_NAME "amulette de défense"
    "amulettes de défense" : plural
ITEMS_DEFENSEAMULET_SHORTNAME "défense"
ITEMS_DEVILBOOTS_NAME "paire de bottes du diable"
    "paires de bottes du diable" : plural
ITEMS_DEVILBOOTS_SHORTNAME "diable"
ITEMS_DEVILHOOVES_NAME "sabots du diable"
ITEMS_DEVILHORNS_NAME "cornes du diable"
ITEMS_DEVOTIONALMEDAL_DESCRIPTION "Représente un événement religieux important."
ITEMS_DEVOTIONALMEDAL_NAME "médaille de dévotion"
ITEMS_DIVINITYAMULET_DESCRIPTION "Rend le porteur plus saint et divin."
ITEMS_DIVINITYAMULET_NAME "collier de crucifix"
ITEMS_DIVINITYAMULET_SHORTNAME "crucifix"
ITEMS_ELVENSWORD_NAME "épée elfique"
ITEMS_FIRSTAIDKIT_DESCRIPTION "Soigne tes blessures, mais nécessite quelques tours pour être appliqué."
ITEMS_FIRSTAIDKIT_NAME "trousse de premiers secours"
ITEMS_GOLDPIECE_NAME "pièce d'or"
ITEMS_GREENDRAGONSCALES_NAME "écailles de dragon vert"
ITEMS_HALLOWEENCOSTUME_NAME "déguisement d'Halloween"
ITEMS_HALLOWEENCOSTUME_SHORTNAME "déguisement d'Halloween"
ITEMS_HEAVYCLUB_NAME "gourdin lourd"
ITEMS_HYDRATONGUE_NAME "langue d'hydre"
ITEMS_INFERNITEORE_NAME "minerai d'infernite"
ITEMS_INFERNITETRIDENT_NAME "trident en infernite"
ITEMS_INFERNITETRIDENT_SHORTNAME "infernite"
ITEMS_INVISIBILITYRING_NAME "anneau en or"
ITEMS_IRONBOOTS_NAME "paire de bottes en fer"
    "paires de bottes en fer" : plural
ITEMS_IRONBOOTS_SHORTNAME "bottes"
ITEMS_IRONCROZIER_NAME "crosse en fer"
ITEMS_IRONGLOVES_NAME "paire de gants en fer"
    "paires de gants en fer" : plural
ITEMS_IRONGLOVES_SHORTNAME "gants"
ITEMS_IRONHELM_NAME "heaume en fer"
ITEMS_IRONHELM_SHORTNAME "heaume"
ITEMS_IRONORE_NAME "minerai de fer"
ITEMS_IRONSHIELD_NAME "bouclier en fer"
ITEMS_IRONSHIELD_SHORTNAME "fer"
ITEMS_JUMPRING_NAME "anneau de saut"
ITEMS_JUMPRING_SHORTNAME "saut"
ITEMS_KABOOMHEAD_ID "autodestruction"
ITEMS_KABOOMHEAD_NAME "tête kaboom"
ITEMS_KABOOMHEAD_PREFIX1 "Explose, détruisant l'automate équipé et tuant la cible. Agace les ennemis."
ITEMS_KABOOMHEAD_PREFIX "tête kaboom"
ITEMS_KABOOMHEAD_SHORTNAME "tête kaboom"
ITEMS_KNIFE_NAME1 "couteau d'assassin"
    "couteaux d'assassin" : plural
ITEMS_KNIFE_NAME "couteau"
    "couteaux" : plural
ITEMS_LEATHERARMOR_NAME1 "armure d'écailles de dragon rouge"
ITEMS_LEATHERARMOR_NAME2 "armure d'écailles de dragon noir"
ITEMS_LEATHERARMOR_NAME3 "armure d'écailles de dragon blanc"
ITEMS_LEATHERARMOR_NAME4 "armure d'écailles de dragon jaune"
ITEMS_LEATHERARMOR_NAME5 "armure d'écailles de dragon vert"
ITEMS_LEATHERARMOR_NAME "armure de cuir"
ITEMS_LEATHERARMOR_SHORTNAME1 "dragon rouge"
ITEMS_LEATHERARMOR_SHORTNAME2 "dragon noir"
ITEMS_LEATHERARMOR_SHORTNAME3 "dragon blanc"
ITEMS_LEATHERARMOR_SHORTNAME4 "dragon jaune"
ITEMS_LEATHERARMOR_SHORTNAME5 "dragon vert"
ITEMS_LEATHERARMOR_SHORTNAME "armure"
ITEMS_LEATHERBOOTS_NAME "paire de bottes en cuir"
    "paires de bottes en cuir" : plural
ITEMS_LEATHERBOOTS_SHORTNAME "bottes"
ITEMS_LEATHERGLOVES_NAME "paire de gants en cuir"
    "paires de gants en cuir" : plural
ITEMS_LEATHERGLOVES_SHORTNAME "gants"
ITEMS_LEATHERHELM_NAME1 "casque en testicules de cyclope"
ITEMS_LEATHERHELM_NAME "heaume en cuir"
ITEMS_LEATHERHELM_SHORTNAME1 "cyclope"
ITEMS_LEATHERHELM_SHORTNAME "heaume"
ITEMS_MAGICLAMP_APPLYMSGFIRSTPERSON "frotter la lampe"
ITEMS_MAGICLAMP_APPLYMSGTHIRDPERSON "frotte la lampe"
ITEMS_MAGICLAMP_DESCRIPTION "Juste une lampe à huile"
ITEMS_MAGICLAMP_NAME "lampe à huile"
ITEMS_MAGICEGG1_NAME "Œuf de Slime de Feu"
ITEMS_MOONSHINE_BLINDNAME "potion"
ITEMS_MOONSHINE_EFFECT "Augmente le moral, mais enivre les sbires"
ITEMS_MOONSHINE_NAME "potion d'eau-de-vie"
    "potions d'eau-de-vie" : plural
ITEMS_MOONSHINE_SHORTNAME "eau-de-vie"
ITEMS_PRAYERBOOKPROTECTION_BLINDNAME "livre"
ITEMS_PRAYERBOOKPROTECTION_DESCRIPTION "Contient des prières à réciter pendant la messe."
ITEMS_PRAYERBOOKPROTECTION_EFFECT "Aucun"
ITEMS_PRAYERBOOKPROTECTION_NAME10 "livre liturgique pour l'aide armée"
ITEMS_PRAYERBOOKPROTECTION_NAME11 "livre liturgique pour la main-d'œuvre"
ITEMS_PRAYERBOOKPROTECTION_NAME12 "livre liturgique pour le potentiel d'entraînement au corps à corps"
ITEMS_PRAYERBOOKPROTECTION_NAME13 "livre liturgique pour le potentiel d'entraînement divin"
ITEMS_PRAYERBOOKPROTECTION_NAME14 "livre liturgique pour un ange gardien"
ITEMS_PRAYERBOOKPROTECTION_NAME15 "livre liturgique du Dieu Maléfique Adoxie"
ITEMS_PRAYERBOOKPROTECTION_NAME1 "livre liturgique pour la force"
ITEMS_PRAYERBOOKPROTECTION_NAME2 "livre liturgique pour la protection contre les flèches"
ITEMS_PRAYERBOOKPROTECTION_NAME3 "livre liturgique pour creuser"
ITEMS_PRAYERBOOKPROTECTION_NAME4 "livre liturgique pour l'entraînement rapide"
ITEMS_PRAYERBOOKPROTECTION_NAME5 "livre liturgique pour l'artisanat rapide"
ITEMS_PRAYERBOOKPROTECTION_NAME6 "livre liturgique pour la protection contre le feu"
ITEMS_PRAYERBOOKPROTECTION_NAME7 "livre liturgique pour la protection contre le poison"
